-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration           | Term      |        J |    g |        Level (eV) |   Uncertainty (eV) |    Landé | Leading percentages                                | Reference
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.37p                | 2P*       |  1/2,3/2 |    6 |       7.715254    |         0.000010   |          |                                                    |            L10559
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.38s                | 2S        |      1/2 |    2 |       7.71551     |         0.00004    |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.38p                | 2P*       |  1/2,3/2 |    6 |       7.715868    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.39s                | 2S        |      1/2 |    2 |       7.71609     |         0.00004    |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.39p                | 2P*       |  1/2,3/2 |    6 |       7.716429    |         0.000010   |          |                                                    |            L10559
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.40s                | 2S        |      1/2 |    2 |       7.71662     |         0.00004    |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.40p                | 2P*       |  1/2,3/2 |    6 |       7.716944    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.41s                | 2S        |      1/2 |    2 |       7.71712     |         0.00004    |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.41p                | 2P*       |  1/2,3/2 |    6 |       7.717424    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.42p                | 2P*       |  1/2,3/2 |    6 |       7.717866    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.43p                | 2P*       |  1/2,3/2 |    6 |       7.718274    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.44p                | 2P*       |  1/2,3/2 |    6 |       7.718654    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.45p                | 2P*       |  1/2,3/2 |    6 |       7.719014    |         0.000010   |          |                                                    |            L10559
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.46p                | 2P*       |  1/2,3/2 |    6 |       7.719345    |         0.000010   |          |                                                    |            L10559
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.47p                | 2P*       |  1/2,3/2 |    6 |       7.719654    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.48p                | 2P*       |  1/2,3/2 |    6 |       7.719947    |         0.000010   |          |                                                    |            L10559
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.49p                | 2P*       |  1/2,3/2 |    6 |       7.720211    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.50p                | 2P*       |  1/2,3/2 |    6 |       7.720471    |         0.000010   |          |                                                    |            L10559
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.51p                | 2P*       |  1/2,3/2 |    6 |       7.720715    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.52p                | 2P*       |  1/2,3/2 |    6 |       7.72093     |         0.00004    |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.53p                | 2P*       |  1/2,3/2 |    6 |       7.72114     |         0.00004    |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.54p                | 2P*       |  1/2,3/2 |    6 |       7.72133     |         0.00004    |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.55p                | 2P*       |  1/2,3/2 |    6 |       7.72154     |         0.00004    |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.56p                | 2P*       |  1/2,3/2 |    6 |       7.72171     |         0.00004    |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.57p                | 2P*       |  1/2,3/2 |    6 |       7.72187     |         0.00004    |          |                                                    |        L10559c152
------------------------|-----------|----------|------|-------------------|--------------------|----------|----------------------------------------------------|-------------------
------------------------|-----------|----------|------|-------------------|--------------------|----------|----------------------------------------------------|-------------------
Cu II (3d10 1S<0>)      | Limit     |      --- |      |       7.726380    |         0.000004   |          |                                                    |            L14897
                        |           |          |      |                   |                    |          |                                                    |                   
3d9.4s.(3D).5s          | 4D        |      7/2 |    8 |       7.737027    |         0.000004   |   1.42   | 100                                                |        L10559c152
                        |           |      5/2 |    6 |       7.804589    |         0.000006   |          |  82             :    12  3d9.4s.(1D).5s       2D   |        L10559c152
                        |           |      3/2 |    4 |       7.883492    |         0.000006   |          |  73             :    15  3d9.4s.(3D).5s       2D   |        L10559c152
                        |           |      1/2 |    2 |       7.993553    |         0.000004   |   0.00   | 100                                                |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d9.4s.(3D).5s          | 2D        |      5/2 |    6 |       8.016523    |         0.000007   |          |  87             :    13  3d9.4s.(3D).5s       4D   |        L10559c152
                        |           |      3/2 |    4 |       8.091200    |         0.000014   |          |  55             :    26  3d9.4s.(3D).5s       4D   |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d9.4s.(1D).5s          | 2D        |      5/2 |    6 |       8.324631    |         0.000014   |   0.69   |  95             :     5  3d9.4s.(3D).5s       4D   |        L10559c152
                        |           |      3/2 |    4 |       8.427456    |         0.000006   |          |  69             :    30  3d9.4s.(3D).5s       2D   |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d9.4s.(3D).5p          | 4P*       |      3/2 |    4 |       8.71376     |         0.00006    |          |                                                    |        L10559c152
                        |           |      1/2 |    2 |       8.80315     |         0.00011    |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d9.4s.(3D).5p          | 4F*       |      7/2 |    8 |       8.720675    |         0.000009   |          |                                                    |        L10559c152
                        |           |      5/2 |    6 |       8.730290    |         0.000009   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d9.4s.(3D).5p          | 4D*       |      7/2 |    8 |       8.733648    |         0.000009   |   1.43   |                                                    |        L10559c152
                        |           |      5/2 |    6 |       8.74849     |         0.00009    |          |                                                    |        L10559c152
                        |           |      3/2 |    4 |       8.806574    |         0.000006   |          |                                                    |        L10559c152
                        |           |      1/2 |    2 |       9.00145     |         0.00014    |          |                                                    |            L10559
                        |           |          |      |                   |                    |          |                                                    |                   
3d9.4s.(3D).4d          | 2P        |      3/2 |    4 |       8.784698    |         0.000005   |          |                                                    |        L10559c152
                        |           |      1/2 |    2 |       8.945645    |         0.000014   |          |                                                    |            L10559
                        |           |          |      |                   |                    |          |                                                    |                   
3d9.4s.(3D).4d          | 2S        |      1/2 |    2 |       8.78474     |         0.00003    |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d9.4s.(3D).4d          | 2G        |      9/2 |   10 |       8.785458    |         0.000007   |          |                                                    |        L10559c152
                        |           |      7/2 |    8 |       8.928948    |         0.000006   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d9.4s.(3D).5p          | 2F*       |      5/2 |    6 |       8.797899    |         0.000006   |          |                                                    |        L10559c152
                        |           |      7/2 |    8 |       8.879001    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d9.4s.(3D).4d          | 4S        |      3/2 |    4 |       8.802645    |         0.000005   |          |                                                    |            L10559
                        |           |          |      |                   |                    |          |                                                    |                   
3d9.4s.(3D).4d          | 2D        |      5/2 |    6 |       8.815053    |         0.000005   |          |                                                    |        L10559c152
                        |           |      3/2 |    4 |       8.939879    |         0.000012   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d9.4s.(3D).4d          | 2F        |      7/2 |    8 |       8.818726    |         0.000005   |          |                                                    |        L10559c152
                        |           |      5/2 |    6 |       8.945607    |         0.000006   |   1.10   |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d9.4s.(3D).4d          | 4G        |     11/2 |   12 |       8.819080    |         0.000025   |          |                                                    |        L10559c152
                        |           |      9/2 |   10 |       8.924220    |         0.000012   |          |                                                    |        L10559c152
                        |           |      7/2 |    8 |       9.063585    |         0.000007   |          |                                                    |            L10559
