---------------------------------------------------------------------------------------
Configuration        | Term   |   J |    g |          Level (eV) |   Landé | Reference
                     |        |     |      |                     |         |           
4d3.(4F).5d          | 3G     |   3 |    7 |         9.1147856   |         |    L11823
                     |        |   4 |    9 |         9.1952719   |         |    L11823
                     |        |   5 |   11 |         9.2932126   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(4F).5d          | 3F     |   2 |    5 |         9.1680045   |         |    L11823
                     |        |   3 |    7 |         9.2410537   |         |    L11823
                     |        |   4 |    9 |         9.2994022   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(4F).5d          | 5D     |   0 |    1 |         9.1891185   |         |    L11823
                     |        |   1 |    3 |         9.2147771   |         |    L11823
                     |        |   2 |    5 |         9.2538919   |         |    L11823
                     |        |   3 |    7 |         9.2964900   |         |    L11823
                     |        |   4 |    9 |         9.3514084   |         |    L11823
                     |        |     |      |                     |         |           
4d2.(1D).5s.5p.(1P*) | 1F*    |   3 |    7 |         9.4946917   |         |    L11823
                     |        |     |      |                     |         |           
4d2.(1G).5s.5p.(1P*) | 1G*    |   4 |    9 |         9.8160435   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(4P).5d          | 3D     |   1 |    3 |         9.8669552   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(4P).5d          | 5F     |   2 |    5 |         9.8697026   |         |    L11823
                     |        |   3 |    7 |         9.8753238   |         |    L11823
                     |        |   1 |    3 |         9.8754880   |         |    L11823
                     |        |   4 |    9 |         9.9270752   |         |    L11823
                     |        |   5 |   11 |        10.0169755   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2G).5d          | 3D     |   3 |    7 |         9.9364188   |         |    L11823
                     |        |   1 |    3 |        10.0357657   |         |    L11823
                     |        |   2 |    5 |        10.0853792   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2G).5d          | 1F     |   3 |    7 |         9.9404165   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2G).5d          | 3I     |   5 |   11 |         9.9581643   |         |    L11823
                     |        |   6 |   13 |        10.0010588   |         |    L11823
                     |        |   7 |   15 |        10.0565104   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(4P).5d          | 5D     |   2 |    5 |         9.9621449   |         |    L11823
                     |        |   1 |    3 |         9.9707679   |         |    L11823
                     |        |   4 |    9 |        10.0567794   |         |    L11823
                     |        |   3 |    7 |        10.0664012   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2G).5d          | 1H     |   5 |   11 |         9.9876874   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2G).5d          | 3H     |   4 |    9 |        10.0095442   |         |    L11823
                     |        |   5 |   11 |        10.0738336   |         |    L11823
                     |        |   6 |   13 |        10.0934928   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2G).5d          | 1D     |   2 |    5 |        10.0185178   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2G).5d          | 3G     |   4 |    9 |        10.0300400   |         |    L11823
                     |        |   3 |    7 |        10.0320048   |         |    L11823
                     |        |   5 |   11 |        10.0352971   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2P).5d          | 3F     |   2 |    5 |        10.0484667   |         |    L11823
                     |        |   3 |    7 |        10.0703414   |         |    L11823
                     |        |   4 |    9 |        10.4198978   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(4P).5d          | 5P     |   1 |    3 |        10.0754791   |         |    L11823
                     |        |   2 |    5 |        10.1043843   |         |    L11823
                     |        |   3 |    7 |        10.1144812   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2P).5d          | 3D     |   1 |    3 |        10.0916926   |         |    L11823
                     |        |   2 |    5 |        10.1451475   |         |    L11823
                     |        |   3 |    7 |        10.2502961   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2G).5d          | 3F     |   4 |    9 |        10.1082355   |         |    L11823
                     |        |   3 |    7 |        10.3325162   |         |    L11823
                     |        |   2 |    5 |        10.4357851   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2P).5d          | 1F     |   3 |    7 |        10.1182804   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2G).5d          | 1I     |   6 |   13 |        10.1657100   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2P).5d          | 1P     |   1 |    3 |        10.1685839   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(4P).5d          | 3F     |   2 |    5 |        10.1781276   |         |    L11823
                     |        |   4 |    9 |        10.1922684   |         |    L11823
                     |        |   3 |    7 |        10.2018085   |         |    L11823
                     |        |     |      |                     |         |           
