--------------------------------------------------------------------------------
Configuration      | Term   |    J |           Level (eV) |   Landé | Reference
                   |        |  5/2 |        26.5169714    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).7h | 2[5]*  | 11/2 |        26.5175106    |         |    L15349
                   |        |  9/2 |        26.5175166    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).7h | 2[6]*  | 11/2 |        26.5175465    |         |    L15349
                   |        | 13/2 |        26.5175478    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).7g | 2[6]   | 13/2 |        26.5178907    |         |    L15349
                   |        | 11/2 |        26.5178910    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).7i | 2[6]   | 11/2 |        26.5182798    |         |    L15349
                   |        | 13/2 |        26.5182802    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).7h | 2[4]*  |  7/2 |        26.5183115    |         |    L15349
                   |        |  9/2 |        26.5183131    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).7i | 2[7]   | 13/2 |        26.5183399    |         |    L15349
                   |        | 15/2 |        26.51834059   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).7i | 2[5]   |  9/2 |        26.51872775   |         |    L15349
                   |        | 11/2 |        26.51872874   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).7h | 2[7]*  | 13/2 |        26.5189883    |         |    L15349
                   |        | 15/2 |        26.5189883    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).7g | 2[2]   |  3/2 |        26.519141     |         |    L15349
                   |        |  5/2 |        26.5191665    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).7i | 2[8]   | 15/2 |        26.51920431   |         |    L15349
                   |        | 17/2 |        26.51920604   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).7i | 2[4]   |  7/2 |        26.5194635    |         |    L15349
                   |        |  9/2 |        26.5194653    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).7h | 2[3]*  |  5/2 |        26.5195296    |         |    L15349
                   |        |  7/2 |        26.5195296    |         |    L15349
