------------------------------------------------------------------------------------------------------------
Configuration        | Term    |    J |    g |       Level (eV) |   Uncertainty (eV) |    Landé | Reference
                     |         |      |      |                  |                    |          |           
                     | 434*    |  5/2 |    6 |       5.392897   |                    |   1.22   |          
                     |         |      |      |                  |                    |          |           
                     | 435*    |  7/2 |    8 |       5.39744    |                    |   1.215  |          
                     |         |  5/2 |    6 |       5.399609   |                    |   0.945  |          
                     |         |      |      |                  |                    |          |           
                     | 438*    |  3/2 |    4 |       5.432818   |                    |   1.642  |          
                     |         |  5/2 |    6 |       5.440531   |                    |   1.284  |          
                     |         |      |      |                  |                    |          |           
5d3.6s.(5F).7s       | e 4F    |  3/2 |    4 |       5.450903   |                    |          |          
                     |         |  5/2 |    6 |       5.512536   |                    |   0.988  |          
                     |         |  7/2 |    8 |       5.928572   |                    |          |          
                     |         |  9/2 |   10 |       6.26240    |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 440     |  3/2 |    4 |       5.467201   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 441*    | 11/2 |   12 |       5.472825   |                    |   1.122  |          
                     |         |  1/2 |    2 |       5.473426   |                    |   0.714  |          
                     |         |  7/2 |    8 |       5.475834   |                    |   1.067  |          
                     |         |  9/2 |   10 |       5.476831   |                    |   1.115  |          
                     |         |      |      |                  |                    |          |           
                     | 443*    |  3/2 |    4 |       5.498723   |                    |   1.309  |          
                     |         |  5/2 |    6 |       5.503212   |                    |   1.179  |          
                     |         |      |      |                  |                    |          |           
                     | 444*    |  9/2 |   10 |       5.505216   |                    |   1.146  |          
                     |         |  3/2 |    4 |       5.515308   |                    |   1.034  |          
                     |         |      |      |                  |                    |          |           
5d4.(5D).6p          | x 6D*   |  1/2 |    2 |       5.519541   |                    |   2.378  |          
                     |         |  3/2 |    4 |       5.609816   |                    |   1.85   |          
                     |         |  5/2 |    6 |       5.611026   |                    |   1.662  |          
                     |         |  7/2 |    8 |       5.754081   |                    |   1.532  |          
                     |         |  9/2 |   10 |       5.926421   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 4466*   |  7/2 |    8 |       5.538279   |                    |   1.682  |          
                     |         |      |      |                  |                    |          |           
                     | 4469*   |  7/2 |    8 |       5.541275   |                    |   1.227  |          
                     |         |      |      |                  |                    |          |           
                     | 450*    | 11/2 |   12 |       5.586398   |                    |   1.056  |          
                     |         |      |      |                  |                    |          |           
                     | 451*    |  7/2 |    8 |       5.593511   |                    |   1.337  |          
                     |         |      |      |                  |                    |          |           
5d4.(5D).6p          | y 6P*   |  3/2 |    4 |       5.609260   |                    |   1.245  |          
                     |         |  5/2 |    6 |       5.667898   |                    |          |          
                     |         |  7/2 |    8 |       5.904361   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 452*    |  3/2 |    4 |       5.613557   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 456*    |  7/2 |    8 |       5.659663   |                    |   1.264  |          
                     |         |      |      |                  |                    |          |           
                     | 457*    |  3/2 |    4 |       5.669001   |                    |   1.112  |          
                     |         |      |      |                  |                    |          |           
                     | 458*    |  7/2 |    8 |       5.68363    |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 460*    | 7/2? |    8 |       5.71079    |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 461*    |  5/2 |    6 |       5.717771   |                    |   1.254  |          
                     |         |  7/2 |    8 |       5.724653   |                    |   1.186  |          
                     |         |  3/2 |    4 |       5.725189   |                    |   0.896  |          
                     |         |      |      |                  |                    |          |           
                     | 465*    | 11/2 |   12 |       5.771728   |                    |   1.266  |          
                     |         |      |      |                  |                    |          |           
                     | 468*    |  3/2 |    4 |       5.813345   |                    |   0.737  |          
                     |         |      |      |                  |                    |          |           
                     | 469*    |  5/2 |    6 |       5.818997   |                    |          |          
                     |         |  3/2 |    4 |       5.824037   |                    |   1.871  |          
                     |         |      |      |                  |                    |          |           
                     | 469     |  5/2 |    6 |       5.825012   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 470*    |  7/2 |    8 |       5.828872   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 473*    | 11/2 |   12 |       5.869347   |                    |          |          
                     |         |  5/2 |    6 |       5.876486   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 476*    |  7/2 |    8 |       5.904749   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 479*    |  7/2 |    8 |       5.942706   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 480*    |  7/2 |    8 |       5.959872   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 482     |  5/2 |    6 |       5.987253   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 483*    |  5/2 |    6 |       5.997035   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 484*    |  9/2 |   10 |       6.009385   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 491*    |  9/2 |   10 |       6.093737   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 4955*   |  7/2 |    8 |       6.14354?   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 4959*   |  7/2 |    8 |       6.149518   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 498*    |  7/2 |    8 |       6.18464?   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 499*    |  5/2 |    6 |       6.196894   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 500*    |  9/2 |   10 |       6.200954   |                    |          |          
                     |         |      |      |                  |                    |          |           
