---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |     Observed     |       Ritz       |  Rel. |     Aki     | Acc. |         Ei           Ek         |             Lower level             |             Upper level              |  gi   gk  |Type|               TP  |          Line  |
          |    Wavelength    |    Wavelength    |  Int. |   (s^-1)    |      |        (eV)         (eV)        |-------------------------------------|--------------------------------------|           |    |              Ref. |          Ref.  |
          |     Air (nm)     |     Air (nm)     |       |             |      |                                 | Conf.                | Term  | J    | Conf.                 | Term  | J    |           |    |                   |                |
O IV      |                  |        212.739   |       | 2.61e+07    | B    |   57.92905     -    63.75520    | 2s.2p.(3P*).3p       | 2P    | 1/2  | 2s.2p.(3P*).3d        | 2P*   | 3/2  |   2 - 4   |    |           T5109LS |                |
O II      |        213.1818  |        213.1813  |    12 | 4.45e+07    | C    |   26.2490332   -    32.063101   | 2s2.2p2.(3P).3p      | 2D*   | 5/2  | 2s2.2p2.(3P).5s       | 2P    | 3/2  |   6 - 4   |    |           T5723LS |        L10549  |
O II      |        213.1997  |        213.2017  |    10 | 4.94e+07    | C    |   26.2253999   -    32.038913   | 2s2.2p2.(3P).3p      | 2D*   | 3/2  | 2s2.2p2.(3P).5s       | 2P    | 1/2  |   4 - 2   |    |           T5723LS |        L10549  |
O IV      |                  |        213.264   |       | 1.29e+08    | B    |   57.94338     -    63.75520    | 2s.2p.(3P*).3p       | 2P    | 3/2  | 2s.2p.(3P*).3d        | 2P*   | 3/2  |   4 - 4   |    |           T5109LS |                |
O II      |        214.8222  |        214.8220  |    1* |             |      |   25.8487465   -    31.618417   | 2s2.2p2.(3P).3p      | 4P*   | 5/2  | 2s2.2p2.(3P).4d       | 4D    | 7/2  |   6 - 8   |    |                   |        L10621  |
          |                  |                  |       |             |      |                                 |                      |       |      |                       |       |      |           |    |                   |                |
O II      |        214.8222  |        214.8232  |    1* |             |      |   25.8316245   -    31.601262   | 2s2.2p2.(3P).3p      | 4P*   | 1/2  | 2s2.2p2.(3P).4d       | 4D    | 3/2  |   2 - 4   |    |                   |        L10621  |
O II      |                  |        214.9669  |       |             |      |   25.8373469   -    31.603128   | 2s2.2p2.(3P).3p      | 4P*   | 3/2  | 2s2.2p2.(3P).4d       | 4D    | 5/2  |   4 - 6   |    |                   |         L7243  |
O III     |                  |        215.3304  |       | 9.49e+04    | C    |   33.150536    -    38.906585   | 2s2.2p.(2P*).3s      | 3P*   | 1    | 2s2.2p.(2P*).3p       | 1S    | 0    |   3 - 1   |    |               u24 |                |
O IV      |                  |        215.533   |       | 2.11e+06    | B    |   67.8598      -    73.6104     | 2s.2p.(1P*).3p       | 2D    | 3/2  | 2s.2p.(3P*).4d        | 2D*   | 5/2  |   4 - 6   |    |           T5109LS |                |
O IV      |                  |        215.668   |       | 2.95e+07    | B    |   67.8634      -    73.6104     | 2s.2p.(1P*).3p       | 2D    | 5/2  | 2s.2p.(3P*).4d        | 2D*   | 5/2  |   6 - 6   |    |           T5109LS |                |
          |                  |                  |       |             |      |                                 |                      |       |      |                       |       |      |           |    |                   |                |
O IV      |                  |        215.910   |       | 2.83e+07    | B    |   67.8598      -    73.6004     | 2s.2p.(1P*).3p       | 2D    | 3/2  | 2s.2p.(3P*).4d        | 2D*   | 3/2  |   4 - 4   |    |           T5109LS |                |
O IV      |                  |        216.046   |       | 3.14e+06    | B    |   67.8634      -    73.6004     | 2s.2p.(1P*).3p       | 2D    | 5/2  | 2s.2p.(3P*).4d        | 2D*   | 3/2  |   6 - 4   |    |           T5109LS |                |
O III     |                  |        216.5390  |       | 1.68e+07    | C+   |   40.262089    -    45.986014   | 2s2.2p.(2P*).3d      | 1D*   | 2    | 2s2.2p.(2P*).4p       | 1D    | 2    |   5 - 5   |    |             T5376 |                |
O II      |                  |        217.051   |       | 3.67e+04    | E    |   28.358142    -    34.06856    | 2s2.2p2.(1D).3p      | 2F*   | 5/2  | 2s2.2p2.(1D).4d       | 2F    | 7/2  |   6 - 8   |    |           T5723LS |         L7243  |
O II      |                  |        217.162   |       | 9.91e+05    | D    |   28.361069    -    34.06856    | 2s2.2p2.(1D).3p      | 2F*   | 7/2  | 2s2.2p2.(1D).4d       | 2F    | 7/2  |   8 - 8   |    |           T5723LS |         L7243  |
          |                  |                  |       |             |      |                                 |                      |       |      |                       |       |      |           |    |                   |                |
O II      |                  |        217.2206  |       | 7.59e+05    | C    |   25.661218    -    31.367182   | 2s2.2p2.(1D).3s      | 2D    | 5/2  | 2s2.2p2.(1S).3p       | 2P*   | 3/2  |   6 - 4   |    |           T5723LS |         L7243  |
O II      |                  |        217.2256  |       | 8.43e+04    | D    |   25.661347    -    31.367182   | 2s2.2p2.(1D).3s      | 2D    | 3/2  | 2s2.2p2.(1S).3p       | 2P*   | 3/2  |   4 - 4   |    |           T5723LS |         L7243  |
O II      |                  |        217.244   |       | 9.77e+05    | D    |   28.358142    -    34.06351    | 2s2.2p2.(1D).3p      | 2F*   | 5/2  | 2s2.2p2.(1D).4d       | 2F    | 5/2  |   6 - 6   |    |           T5723LS |         L7243  |
O II      |                  |        217.2546  |       | 8.43e+05    | D    |   25.661347    -    31.366419   | 2s2.2p2.(1D).3s      | 2D    | 3/2  | 2s2.2p2.(1S).3p       | 2P*   | 1/2  |   4 - 2   |    |           T5723LS |         L7243  |
