----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed     |      Ritz       |   Rel. |    Aki     | Acc. |        Ei           Ek         |          Lower level          |              Upper level              |  gi   gk  |Type|                   TP  |   Line  |
          |   Wavelength    |   Wavelength    |   Int. |   (s^-1)   |      |       (eV)         (eV)        |-------------------------------|---------------------------------------|           |    |                  Ref. |   Ref.  |
          |    Vac (nm)     |    Vac (nm)     |        |            |      |                                | Conf.            | Term | J   | Conf.                 | Term    | J   |           |    |                       |         |
Cl I      |        426.458  |        426.4580 |     60 | 1.7e+05    | D+   |   8.9217000   -    11.8281832  | 3s2.3p4.(3P).4s  | 4P   | 5/2 | 3s2.3p4.(3P).5p       | 4D*     | 5/2 |   6 - 6   |    |            T1277,T694 |   L298  |
Cl II     |                 |        427.0566 |        | 7.4e+07    | D    |  18.241494    -    21.143903   | 3s2.3p3.(2D*).4p | 3F   | 3   | 3s2.3p3.(2D*).5s      | 3D*     | 2   |   7 - 5   |    |            T1619CA,LS |         |
Cl II     |                 |        427.6480 |        | 7.6e+07    | D    |  18.250504    -    21.148900   | 3s2.3p3.(2D*).4p | 3F   | 4   | 3s2.3p3.(2D*).5s      | 3D*     | 3   |   9 - 7   |    |            T1619CA,LS |         |
Cl I      |                 |        428.0463 |        | 1.6e+05    | D    |   8.9217000   -    11.8173988  | 3s2.3p4.(3P).4s  | 4P   | 5/2 | 3s2.3p4.(3P).5p       | 4D*     | 3/2 |   6 - 4   |    |                  T694 |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        429.1707 |        | 1.0e+08    | D    |  15.712108    -    18.600221   | 3s2.3p3.(2D*).4s | 3D*  | 1   | 3s2.3p3.(2D*).4p      | 3P      | 0   |   3 - 1   |    |      T1277,T1619CA,LS |         |
Cl II     |                 |        430.4035 |        | 2.5e+07    | D    |  15.712108    -    18.591949   | 3s2.3p3.(2D*).4s | 3D*  | 1   | 3s2.3p3.(2D*).4p      | 3P      | 1   |   3 - 3   |    |      T1277,T1619CA,LS |         |
Cl II     |                 |        430.7423 |        | 7.6e+07    | D    |  15.714374    -    18.591949   | 3s2.3p3.(2D*).4s | 3D*  | 2   | 3s2.3p3.(2D*).4p      | 3P      | 1   |   5 - 3   |    |      T1277,T1619CA,LS |         |
Cl I      |                 |        432.3335 |        | 1.1e+06    | D+   |   8.9874370   -    11.8544214  | 3s2.3p4.(3P).4s  | 4P   | 3/2 | 3s2.3p4.(3P).5p       | 4S*     | 3/2 |   4 - 4   |    |            T1277,T694 |         |
Cl II     |                 |        433.2773 |        | 1.0e+06    | E    |  15.712108    -    18.572848   | 3s2.3p3.(2D*).4s | 3D*  | 1   | 3s2.3p3.(2D*).4p      | 3P      | 2   |   3 - 5   |    |      T1277,T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        433.6207 |        | 1.5e+07    | D    |  15.714374    -    18.572848   | 3s2.3p3.(2D*).4s | 3D*  | 2   | 3s2.3p3.(2D*).4p      | 3P      | 2   |   5 - 5   |    |      T1277,T1619CA,LS |         |
Cl I      |                 |        433.7861 |        | 2.6e+05    | D    |   8.9874370   -    11.8448209  | 3s2.3p4.(3P).4s  | 4P   | 3/2 | 3s2.3p4.(3P).5p       | 2S*     | 1/2 |   4 - 2   |    |                  T694 |         |
Cl II     |                 |        434.3630 |        | 8.4e+07    | D    |  15.719258    -    18.572848   | 3s2.3p3.(2D*).4s | 3D*  | 3   | 3s2.3p3.(2D*).4p      | 3P      | 2   |   7 - 5   |    |      T1277,T1619CA,LS |         |
Cl I      |        436.327  |        436.3268 |    100 | 6.8e+05    | D    |   8.9874370   -    11.8281832  | 3s2.3p4.(3P).4s  | 4P   | 3/2 | 3s2.3p4.(3P).5p       | 4D*     | 5/2 |   4 - 6   |    |                 T8043 |   L298  |
Cl I      |        436.950  |        436.9498 |    100 | 7.0e+05    | D+   |   9.0294019   -    11.8660979  | 3s2.3p4.(3P).4s  | 4P   | 1/2 | 3s2.3p4.(3P).5p       | 2D*     | 3/2 |   2 - 4   |    |            T1277,T694 |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |        437.091  |                 |    400 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L495  |
Cl I      |                 |        437.1544 |        | 1.5e+05    | D+   |   8.9217000   -    11.7570682  | 3s2.3p4.(3P).4s  | 4P   | 5/2 | 3s2.3p4.(3P).5p       | 2D*     | 5/2 |   6 - 6   |    |            T1277,T694 |         |
Cl II     |        437.293  |                 |   5000 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl I      |        437.990  |        437.9896 |    100 | 1.4e+06    | D    |   8.9874370   -    11.8173988  | 3s2.3p4.(3P).4s  | 4P   | 3/2 | 3s2.3p4.(3P).5p       | 4D*     | 3/2 |   4 - 4   |    |                 T8043 |   L298  |
Cl I      |                 |        438.7558 |        | 3.6e+05    | D+   |   9.0294019   -    11.8544214  | 3s2.3p4.(3P).4s  | 4P   | 1/2 | 3s2.3p4.(3P).5p       | 4S*     | 3/2 |   2 - 4   |    |            T1277,T694 |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        438.975  |        438.9751 |    100 | 1.4e+06    | D    |   8.9217000   -    11.745308   | 3s2.3p4.(3P).4s  | 4P   | 5/2 | 3s2.3p4.(3P).5p       | 4D*     | 7/2 |   6 - 8   |    |                 T8043 |   L298  |
Cl I      |        439.040  |        439.0403 |     90 | 7.9e+05    | D+   |   9.0294019   -    11.8525909  | 3s2.3p4.(3P).4s  | 4P   | 1/2 | 3s2.3p4.(3P).5p       | 4D*     | 1/2 |   2 - 2   |    |            T1277,T694 |   L298  |
Cl II     |                 |        439.9137 |        | 1.3e+08    | D    |  17.187276    -    20.004860   | 3s2.3p3.(2P*).3d | 1D*  | 2   | 3s2.3p3.(2P*).4p      | 1D      | 2   |   5 - 5   |    |               T1619CA |         |
Cl I      |                 |        440.2520 |        | 5.8e+05    | D+   |   9.0294019   -    11.8448209  | 3s2.3p4.(3P).4s  | 4P   | 1/2 | 3s2.3p4.(3P).5p       | 2S*     | 1/2 |   2 - 2   |    |            T1277,T694 |         |
Cl I      |        440.303  |        440.3020 |     90 | 7.4e+05    | D    |   8.9217000   -    11.7367992  | 3s2.3p4.(3P).4s  | 4P   | 5/2 | 3s2.3p4.(3P).5p       | 4P*     | 3/2 |   6 - 4   |    |            T1277,T694 |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        443.849  |        443.8488 |    100 | 1.4e+06    | D    |   8.9217000   -    11.7143043  | 3s2.3p4.(3P).4s  | 4P   | 5/2 | 3s2.3p4.(3P).5p       | 4P*     | 5/2 |   6 - 6   |    |            T1277,T694 |   L298  |
Cl I      |                 |        444.5823 |        | 2.3e+05    | D    |   9.0294019   -    11.8173988  | 3s2.3p4.(3P).4s  | 4P   | 1/2 | 3s2.3p4.(3P).5p       | 4D*     | 3/2 |   2 - 4   |    |                  T694 |         |
Cl I      |                 |        444.6139 |        | 4.4e+05    | D    |   8.9874370   -    11.7752360  | 3s2.3p4.(3P).4s  | 4P   | 3/2 | 3s2.3p4.(3P).5p       | 4P*     | 1/2 |   4 - 2   |    |                  T694 |         |
Cl I      |                 |        446.9368 |        | 1.6e+06    | D    |   9.2028320   -    11.9761416  | 3s2.3p4.(3P).4s  | 2P   | 3/2 | 3s2.3p4.(3P).5p       | 2P*     | 1/2 |   4 - 2   |    |            T1277,T694 |         |
Cl I      |        447.530  |        447.5304 |     90 | 4.3e+05    | D+   |   8.9874370   -    11.7570682  | 3s2.3p4.(3P).4s  | 4P   | 3/2 | 3s2.3p4.(3P).5p       | 2D*     | 5/2 |   4 - 6   |    |            T1277,T694 |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |        448.991  |                 |   1500 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl I      |                 |        449.1032 |        | 4.8e+05    | D+   |   9.2028320   -    11.9627639  | 3s2.3p4.(3P).4s  | 2P   | 3/2 | 3s2.3p4.(1D).4p       | 2D*     | 3/2 |   4 - 4   |    |            T1277,T694 |         |
Cl I      |        452.619  |        452.6182 |    100 | 5.1e+06    | C    |   9.2028320   -    11.9413310  | 3s2.3p4.(3P).4s  | 2P   | 3/2 | 3s2.3p4.(3P).5p       | 2P*     | 3/2 |   4 - 4   |    |                 T8043 |   L298  |
Cl I      |                 |        454.5489 |        | 5.1e+04    | D    |   8.9874370   -    11.7143043  | 3s2.3p4.(3P).4s  | 4P   | 3/2 | 3s2.3p4.(3P).5p       | 4P*     | 5/2 |   4 - 6   |    |                  T694 |         |
Cl II     |                 |        456.9344 |        | 5.5e+07    | D    |  16.335677    -    19.048309   | 3s2.3p3.(4S*).4p | 3P   | 1   | 3s2.3p3.(4S*).5s      | 3S*     | 1   |   3 - 3   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        457.1964 |        | 9.2e+07    | D    |  16.337232    -    19.048309   | 3s2.3p3.(4S*).4p | 3P   | 2   | 3s2.3p3.(4S*).5s      | 3S*     | 1   |   5 - 3   |    |            T1619CA,LS |         |
Cl II     |                 |        457.2121 |        | 1.8e+07    | D    |  16.337325    -    19.048309   | 3s2.3p3.(4S*).4p | 3P   | 0   | 3s2.3p3.(4S*).5s      | 3S*     | 1   |   1 - 3   |    |            T1619CA,LS |         |
Cl I      |                 |        457.8178 |        | 1.7e+05    | D    |   9.0294019   -    11.7367992  | 3s2.3p4.(3P).4s  | 4P   | 1/2 | 3s2.3p4.(3P).5p       | 4P*     | 3/2 |   2 - 4   |    |            T1277,T694 |         |
Cl I      |                 |        458.0484 |        | 1.8e+05    | D    |   8.9874370   -    11.6934712  | 3s2.3p4.(3P).4s  | 4P   | 3/2 | 3s2.3p4.(1D).4p       | 2P*     | 3/2 |   4 - 4   |    |                  T694 |         |
Cl III    |                 |        459.095  |        | 3.3e+07    | E    |  24.317916    -    27.01778?   | 3s2.3p2.(3P).3d  | 2F   | 5/2 | 3s2.3p2.(1D).4p       | 2D*     | 3/2 |   6 - 4   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        460.098  |        460.0977 |     80 | 4.2e+06    | C    |   9.2821597   -    11.9761416  | 3s2.3p4.(3P).4s  | 2P   | 1/2 | 3s2.3p4.(3P).5p       | 2P*     | 1/2 |   2 - 2   |    |                 T8043 |   L298  |
Cl III    |                 |        460.425  |        | 1.6e+06    | E    |  24.317916    -    27.00998?   | 3s2.3p2.(3P).3d  | 2F   | 5/2 | 3s2.3p2.(1D).4p       | 2D*     | 5/2 |   6 - 6   |    |            T1619CA,LS |         |
Cl III    |                 |        460.768  |        | 3.1e+07    | E    |  24.319917    -    27.00998?   | 3s2.3p2.(3P).3d  | 2F   | 7/2 | 3s2.3p2.(1D).4p       | 2D*     | 5/2 |   8 - 6   |    |            T1619CA,LS |         |
Cl III    |        460.821  |                 |    500 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L495  |
Cl I      |        462.3938 |        462.3938 |     40 | 4.5e+05    | D+   |   9.2821597   -    11.9627639  | 3s2.3p4.(3P).4s  | 2P   | 1/2 | 3s2.3p4.(1D).4p       | 2D*     | 3/2 |   2 - 4   |    |            T1277,T694 |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        465.4040 |        465.4041 |     50 | 4.9e+05    | D+   |   9.2028320   -    11.8660979  | 3s2.3p4.(3P).4s  | 2P   | 3/2 | 3s2.3p4.(3P).5p       | 2D*     | 3/2 |   4 - 4   |    |            T1277,T694 |   L298  |
Cl I      |        466.1208 |        466.1208 |     80 | 1.2e+06    | C    |   9.2821597   -    11.9413310  | 3s2.3p4.(3P).4s  | 2P   | 1/2 | 3s2.3p4.(3P).5p       | 2P*     | 3/2 |   2 - 4   |    |                 T8043 |   L298  |
Cl I      |                 |        467.4536 |        | 2.0e+05    | D+   |   9.2028320   -    11.8544214  | 3s2.3p4.(3P).4s  | 2P   | 3/2 | 3s2.3p4.(3P).5p       | 4S*     | 3/2 |   4 - 4   |    |            T1277,T694 |         |
Cl I      |                 |        467.7765 |        | 5.4e+05    | D+   |   9.2028320   -    11.8525909  | 3s2.3p4.(3P).4s  | 2P   | 3/2 | 3s2.3p4.(3P).5p       | 4D*     | 1/2 |   4 - 2   |    |            T1277,T694 |         |
Cl I      |        469.1523 |        469.1523 |     45 | 1.1e+06    | D+   |   9.2028320   -    11.8448209  | 3s2.3p4.(3P).4s  | 2P   | 3/2 | 3s2.3p4.(3P).5p       | 2S*     | 1/2 |   4 - 2   |    |            T1277,T694 |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |        470.314  |                 |    300 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L495  |
Cl I      |        472.1255 |        472.1255 |     40 | 2.1e+05    | D+   |   9.2028320   -    11.8281832  | 3s2.3p4.(3P).4s  | 2P   | 3/2 | 3s2.3p4.(3P).5p       | 4D*     | 5/2 |   4 - 6   |    |            T1277,T694 |   L298  |
Cl II     |                 |        473.9352 |        | 4.5e+05    | E    |  15.626167    -    18.241494   | 3s2.3p3.(2D*).3d | 3F*  | 2   | 3s2.3p3.(2D*).4p      | 3F      | 3   |   5 - 7   |    |            T1619CA,LS |         |
Cl I      |        474.0729 |        474.0729 |     45 | 4.2e+05    | D+   |   9.2028320   -    11.8173988  | 3s2.3p4.(3P).4s  | 2P   | 3/2 | 3s2.3p4.(3P).5p       | 4D*     | 3/2 |   4 - 4   |    |            T1277,T694 |   L298  |
Cl II     |                 |        475.5576 |        | 5.0e+06    | E    |  15.626167    -    18.232572   | 3s2.3p3.(2D*).3d | 3F*  | 2   | 3s2.3p3.(2D*).4p      | 3F      | 2   |   5 - 5   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
