---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term    |    J |    g |           Level (eV) |     Uncertainty (eV) |     Landé | Leading percentages                             | Reference
                      |         |  3/2 |    4 |         3.2492294    |          0.0000007   |           |  84         :     6  3d3.4s2               2D1  |        L15916,L20010
                      |         |      |      |                      |                      |           |                                                 |                      
3d4.(5D).4p           | y 6D*   |  1/2 |    2 |         3.2728893    |          0.0000006   |   3.25    |  83         :     7  3d3.(4F).4s.4p.(3P*)  6D*  | L15916,L20010,L14162
                      |         |  3/2 |    4 |         3.27786371   |          0.00000025  |   1.86    |  85         :     8  3d3.(4F).4s.4p.(3P*)  6D*  | L15916,L20010,L14162
                      |         |  5/2 |    6 |         3.2863193    |          0.0000005   |   1.59    |  81         :     7  3d3.(4F).4s.4p.(3P*)  6D*  | L15916,L20010,L14162
                      |         |  7/2 |    8 |         3.2985756†   |          0.0000006   |   1.58    |  81         :     8  3d3.(4F).4s.4p.(3P*)  6D*  | L15916,L20010,L14162
                      |         |  9/2 |   10 |         3.31512952   |          0.00000025  |   1.50    |  76         :     7  3d4.(5D).4p           4F*  | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.(4F).4s.4p.(3P*)  | z 2F*   |  5/2 |    6 |         3.37085099   |          0.00000025  |   1.07?   |  96         :     2  3d2.(3F).4s2.4p       2F*  | L15916,L20010,L14162
                      |         |  7/2 |    8 |         3.4059438    |          0.0000004   |   1.01    |  96         :     1  3d2.(3F).4s2.4p       2F*  | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.(4P).4s.4p.(3P*)  | x 6D*   |  1/2 |    2 |         3.51044219   |          0.00000025  |   3.23    |  90         :     8  3d4.(5D).4p           6D*  | L15916,L20010,L14162
                      |         |  3/2 |    4 |         3.51727707   |          0.00000025  |   1.82    |  88         :     8  3d4.(5D).4p           6D*  | L15916,L20010,L14162
                      |         |  5/2 |    6 |         3.5288602    |          0.0000006   |   1.58    |  88         :     8  3d4.(5D).4p           6D*  | L15916,L20010,L14162
                      |         |  7/2 |    8 |         3.5454071    |          0.0000005   |   1.52    |  90         :     8  3d4.(5D).4p           6D*  | L15916,L20010,L14162
                      |         |  9/2 |   10 |         3.5667950    |          0.0000006   |   1.47    |  88         :     8  3d4.(5D).4p           6D*  | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.(4P).4s.4p.(3P*)  | y 6P*   |  3/2 |    4 |         3.6206845    |          0.0000005   |   2.32    |  72         :    26  3d4.(5D).4p           6P*  | L15916,L20010,L14162
                      |         |  5/2 |    6 |         3.63229436   |          0.00000025  |   1.76    |  72         :    26  3d4.(5D).4p           6P*  | L15916,L20010,L14162
