--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term      |   J |    g |           Level (eV) |     Uncertainty (eV) |   Landé | Leading percentages                                | Reference
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2H).4p          | y 1H*     |   5 |   11 |         6.88104472   |          0.00000023  |   1.03? |  55         :    24  3d3.(2H).4p          3G*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(4P).4p          | y 3S*     |   1 |    3 |         6.9013801    |          0.0000005   |   1.92  |  65         :    12  3d3.(2P).4p          1P*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2P).4p          | y 1P*     |   1 |    3 |         6.9643795    |          0.0000004   |   1.05? |  65         :    16  3d3.(4P).4p          3S*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2D2).4p         | y 1D*     |   2 |    5 |         7.1095808    |          0.0000004   |   0.98  |  41         :    38  3d3.(2P).4p          1D*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2F).4p          | w 3F*     |   2 |    5 |         7.6975667    |          0.0000006   |   0.58? |  69         :    21  3d2.(3F).4s.(4F).4p  5G*      | L20009,L8201
                     |           |   3 |    7 |         7.7035540    |          0.0000004   |   1.00  |  85         :     5  3d2.(3F).4s.(4F).4p  3F*      | L20009,L8201
                     |           |   4 |    9 |         7.7088702    |          0.0000004   |   1.36? |  89                                                | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d2.(3F).4s.4p.(3P*) | 5G*       |   2 |    5 |         7.7224744    |          0.0000010   |         |  79         :    19  3d3.(2F).4p          3F*      |       L20009
                     |           |   3 |    7 |         7.7421146    |          0.0000007   |         |  96                                                |       L20009
                     |           |   4 |    9 |         7.7716039    |          0.0000006   |         |  99                                                |       L20009
                     |           |   5 |   11 |         7.8094922    |          0.0000006   |         |  99                                                |       L20009
                     |           |   6 |   13 |         7.8551551†   |          0.0000007   |         | 100                                                |       L20009
                     |           |     |      |                      |                      |         |                                                    |              
3d2.(3F).4s.4p.(3P*) | y 5F*     |   1 |    3 |         7.8791210    |          0.0000011   |         |  98                                                |       L20009
                     |           |   2 |    5 |         7.8924546    |          0.0000010   |         |  98                                                |       L20009
                     |           |   3 |    7 |         7.9122744    |          0.0000007   |         |  98                                                |       L20009
                     |           |   4 |    9 |         7.9382490    |          0.0000007   |         |  98                                                |       L20009
                     |           |   5 |   11 |         7.9704976    |          0.0000006   |         |  72         :    26  3d3.(2F).4p          3G*      |       L20009
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2F).4p          | w 3G*     |   3 |    7 |         7.9421131    |          0.0000006   |   0.72? |  95                                                | L20009,L8201
                     |           |   4 |    9 |         7.9512087    |          0.0000004   |   1.02  |  94                                                | L20009,L8201
                     |           |   5 |   11 |         7.9634031    |          0.0000004   |         |  70         :    26  3d2.(3F).4s.(4F).4p  5F*      |       L20009
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2F).4p          | x 1D*     |   2 |    5 |         8.0076700    |          0.0000005   |   1.03? |  80         :    12  3d3.(2D1).4p         1D*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2F).4p          | v 3D*     |   3 |    7 |         8.0098126    |          0.0000004   |   1.22? |  88                                                | L20009,L8201
                     |           |   2 |    5 |         8.0346939    |          0.0000004   |   1.02? |  88                                                | L20009,L8201
