-----------------------------------------------------------------------------------------------------------
Configuration       | Term   |   J |    g |         Level (eV) |   Uncertainty (eV) |    Landé | Reference
                    | 27*    |   1 |    3 |        6.0962122   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(4G).5p      | t 5F*  |   1 |    3 |        6.0987456   |                    |    0.31  |          
                    |        |   2 |    5 |        6.1181485   |                    |    1.20  |          
                    |        |   3 |    7 |        6.1332531   |                    |    1.216 |          
                    |        |   4 |    9 |        6.1484790   |                    |    1.245 |          
                    |        |   5 |   11 |        6.1558970   |                    |    1.352 |          
                    |        |     |      |                    |                    |          |           
                    | 28*    |   3 |    7 |        6.1073879   |                    |    1.348 |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(4H).5p      | y 3I*  |   5 |   11 |        6.1186930   |                    |    0.914 |          
                    |        |   6 |   13 |        6.1248650   |                    |    1.108 |          
                    |        |   7 |   15 |        6.1452935   |                    |    1.122 |          
                    |        |     |      |                    |                    |          |           
                    | 29*    |   4 |    9 |        6.1210347   |                    |    1.475 |          
                    |        |     |      |                    |                    |          |           
                    | 29.1*  |   1 |    3 |        6.1237009   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(4P).5p      | w 5P*  |   1 |    3 |        6.1352425   |                    |    2.378 |          
                    |        |   2 |    5 |        6.1634893   |                    |    2.16  |          
                    |        |   3 |    7 |        6.3491888   |                    |    1.66  |          
                    |        |     |      |                    |                    |          |           
                    | 30*    |   5 |   11 |        6.1490714   |                    |    1.008 |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(6D).6s      | f 7D   |   1 |    3 |        6.1506218   |                    |    2.990 |          
                    |        |   2 |    5 |        6.1808830   |                    |          |          
                    |        |   3 |    7 |        6.2184928   |                    |          |          
                    |        |   4 |    9 |        6.2971897   |                    |    1.613 |          
                    |        |   5 |   11 |        6.3573754   |                    |    1.611 |          
                    |        |     |      |                    |                    |          |           
4d5.(4F).5p         | u 3F*  |   3 |    7 |        6.1731417   |                    |    1.061 |          
                    |        |   2 |    5 |        6.1745778   |                    |          |          
                    |        |   4 |    9 |        6.2158433   |                    |    1.210 |          
                    |        |     |      |                    |                    |          |           
                    | 30.1*  |   7 |   15 |        6.1760667   |                    |          |          
                    |        |     |      |                    |                    |          |           
