---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |          Observed          |   Unc.   |            Ritz            |     Unc.     |  Rel. |     Aki      | Acc. |         Ei           Ek         |      Lower level      |      Upper level      |  gi   gk  |Type|      TP  |       Line  |
          |         Wavelength         |   (nm)   |         Wavelength         |     (nm)     |  Int. |    (s^-1)    |      |        (eV)         (eV)        |-----------------------|-----------------------|           |    |     Ref. |       Ref.  |
          |          Vac (nm)          |          |          Vac (nm)          |              |       |              |      |                                 | Conf.  | Term | J     | Conf.  | Term | J     |           |    |          |             |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |              257.76        |  0.03    |              257.76        |  0.03        |    50 |              |      |  58.311        -   63.120       | 2s.2p  | 3P*  | 0,1,2 | 2p.3p  | 3D   | 1,2,3 |   9 - 15  |    |          |      L1786  |
He I      |              267.7135      |  0.0010  |              267.7128032   |  0.0000021   |    1* | 4.4174e+05   | AAA  | [19.81961468]  -  [24.44947791] | 1s.2s  | 3S   | 1     | 1s.10p | 3P*  | 0     |   3 - 1   |    | T8636c73 |     L14924  |
He I      |              267.7135      |  0.0010  |              267.7128514   |  0.0000021   |    1* | 4.4174e+05   | AAA  | [19.81961468]  -  [24.44947708] | 1s.2s  | 3S   | 1     | 1s.10p | 3P*  | 1     |   3 - 3   |    | T8636c73 |     L14924  |
He I      |              267.7135      |  0.0010  |              267.7128553   |  0.0000021   |    1* | 4.4174e+05   | AAA  | [19.81961468]  -  [24.44947701] | 1s.2s  | 3S   | 1     | 1s.10p | 3P*  | 2     |   3 - 5   |    | T8636c73 |     L14924  |
He I      |              269.6119      |  0.0010  |              269.6117588   |  0.0000021   |    1* | 6.0234e+05   | AAA  | [19.81961468]  -  [24.41687024] | 1s.2s  | 3S   | 1     | 1s.9p  | 3P*  | 0     |   3 - 1   |    | T8636c73 |     L14924  |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He I      |              269.6119      |  0.0010  |              269.6118260   |  0.0000021   |    1* | 6.0234e+05   | AAA  | [19.81961468]  -  [24.41686910] | 1s.2s  | 3S   | 1     | 1s.9p  | 3P*  | 1     |   3 - 3   |    | T8636c73 |     L14924  |
He I      |              269.6119      |  0.0010  |              269.6118315   |  0.0000021   |    1* | 6.0234e+05   | AAA  | [19.81961468]  -  [24.41686900] | 1s.2s  | 3S   | 1     | 1s.9p  | 3P*  | 2     |   3 - 5   |    | T8636c73 |     L14924  |
He I      |              272.3191      |  0.0010  |              272.3191000   |  0.0000021   |    1* | 8.4996e+05   | AAA  | [19.81961468]  -  [24.37116777] | 1s.2s  | 3S   | 1     | 1s.8p  | 3P*  | 0     |   3 - 1   |    | T8636c73 |     L14924  |
He I      |              272.3191      |  0.0010  |              272.3191979   |  0.0000021   |    1* | 8.4996e+05   | AAA  | [19.81961468]  -  [24.37116613] | 1s.2s  | 3S   | 1     | 1s.8p  | 3P*  | 1     |   3 - 3   |    | T8636c73 |     L14924  |
