----------------------------------------------------------------------------------------------------
Configuration          | Term   |   J |    g |          Level (eV) |   Uncertainty (eV) | Reference
                       |        |   2 |    5 |                     |                    |          
                       |        |   4 |    9 |        16.0766474   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*).4d       | 3G*    |   4 |    9 |        16.0782510   |                    |          
                       |        |   5 |   11 |        16.0783354   |                    |          
                       |        |   3 |    7 |        16.0799430   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<5/2>).4d  | 1S*    |   0 |    1 |        16.0785842   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<5/2>).4d  | 1P*    |   1 |    3 |        16.0786      |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<5/2>).4d  | 3D*    |   3 |    7 |        16.07980     |                    |          
                       |        |   2 |    5 |        16.08044     |                    |          
                       |        |   1 |    3 |        16.08112     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<3/2>).4d  | 1G*    |   4 |    9 |        16.0806910   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<3/2>).4d  | 1D*    |   2 |    5 |        16.0846      |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<3/2>).4d  | 3S*    |   1 |    3 |        16.08529     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<3/2>).4d  | 1F*    |   3 |    7 |        16.0853443   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*).4f       | 3G     |   3 |    7 |                     |                    |          
                       |        |   4 |    9 |                     |                    |          
                       |        |   5 |   11 |        16.0904137   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*).4f       | 3H     |   4 |    9 |                     |                    |          
                       |        |   5 |   11 |        16.0906591   |                    |          
                       |        |   6 |   13 |        16.0906603   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*).4f       | 1H     |   5 |   11 |        16.0931279   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2D*<3/2>).4d  | 3P*    |   2 |    5 |        16.1142261   |                    |          
                       |        |   1 |    3 |        16.1153896   |                    |          
                       |        |   0 |    1 |        16.1160305   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(2P*).3p       | 1S     |   0 |    1 |        16.2348532   |                    |          
                       |        |     |      |                     |                    |           
