------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed        |    Unc.    |         Ritz          |     Unc.     |      Rel. |     Aki     | Acc. |           Ei           Ek           |              Lower level               |               Upper level               |  gi   gk  |   Type|                TP  |           Line  |
          |      Wavelength       |    (nm)    |      Wavelength       |     (nm)     |      Int. |   (s^-1)    |      |          (eV)         (eV)          |----------------------------------------|-----------------------------------------|           |       |               Ref. |           Ref.  |
          |       Vac (nm)        |            |       Vac (nm)        |              |           |             |      |                                     | Conf.                 | Term    | J    | Conf.                  | Term    | J    |           |       |                    |                 |
Ar XVI    |                       |            |            0.398979   |   0.000021   |           |             |      |    35.0383       -   3142.58        | 1s2.2p                | 2P*     | 3/2  | 1s.2p2                 | 2P      | 1/2  |   4 - 2   |       |                    |                 |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar XVI    |                       |            |            0.398981   |   0.000021   |           |             |      |    31.8672       -   3139.39        | 1s2.2p                | 2P*     | 1/2  | 1s.2p2                 | 2D      | 3/2  |   2 - 4   |       |                    |                 |
Ar XVI    |                       |            |            0.39938    |   0.00003    |           |             |      |    35.0383       -   3139.45        | 1s2.2p                | 2P*     | 3/2  | 1s.2p2                 | 2D      | 5/2  |   4 - 6   |       |                    |                 |
Ar XVI    |                       |            |            0.399388   |   0.000021   |           |             |      |    35.0383       -   3139.39        | 1s2.2p                | 2P*     | 3/2  | 1s.2p2                 | 2D      | 3/2  |   4 - 4   |       |                    |                 |
Ar XVII   |                       |            |            0.39941451 |   0.00000006 |           |             |      |     0.0000       -  (3104.1486)     | 1s2                   | 1S      | 0    | 1s.2s                  | 3S      | 1    |   1 - 3   | M1    |                    |                 |
Ar XV     |            0.40000    |  0.00005   |            0.39998    |   0.00005    |         * |             |      |    28.353        -   3128.1         | 1s2.2s.2p             | 3P*     | 0    | 1s.2s.(3S).2p2.(1S)    | 3S      | 1    |   1 - 3   |       |                    |         L11185  |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar XV     |            0.40000    |  0.00005   |            0.40010    |   0.00005    |         * |             |      |    29.2429356    -   3128.1         | 1s2.2s.2p             | 3P*     | 1    | 1s.2s.(3S).2p2.(1S)    | 3S      | 1    |   3 - 3   |       |                    |         L11185  |
Ar XV     |            0.40044    |  0.00005   |            0.40036    |   0.00005    |           |             |      |    31.3282718    -   3128.1         | 1s2.2s.2p             | 3P*     | 2    | 1s.2s.(3S).2p2.(1S)    | 3S      | 1    |   5 - 3   |       |                    |         L11185  |
