--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                    Observed  |                      Ritz    |   Rel. |    Aki    | Acc. |                Ei           Ek                |                Lower level                |                Upper level                |   Type|          TP  |           Line  |
          |                   Wavelength |                   Wavelength |   Int. |    s^-1   |      |               (eV)         (eV)               |-------------------------------------------|-------------------------------------------|       |         Ref. |           Ref.  |
          |                    Air (nm)  |                    Air (nm)  |   (?)  |           |      |                                               | Conf.                 | Term       | J    | Conf.                 | Term       | J    |       |              |                 |
Ti I      |                  212.35489   |                  212.35417   |     10 |           |      |       0.0479663       -        5.8846787      | 3d2.4s2               | a 3F       | 4    | 3d3.(2F).4p           | p 3F*      | 4    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  212.368     |                  212.367516  |     0: |           |      |       0.04878107      -        5.88512664     | 3d2.(3F).4s           | a 4F       | 9/2  | 3d2.(1G).4p           | x 2F*      | 7/2  |       |              |          L5432  |
Ti III    |                  212.958     |                  212.957+    |      1 |           |      |      10.389486        -       16.209672       | 3p6.3d.4p             | 1P*        | 1    | 3p6.3d.4d             | 3S         | 1    |       |              |          L3593  |
Ti II     |                  213.01451   |                  213.014540  |      5 |           |      |       1.16493097      -        6.98355090     | 3d3                   | a 4P       | 3/2  | 3d.(2D).4s.4p.(3P*)   | y 4P*      | 5/2  |       |              |            u37  |
Ti II     |                  213.21821   |                  213.218252  |      7 |           |      |       1.16095610      -        6.97401747     | 3d3                   | a 4P       | 1/2  | 3d.(2D).4s.4p.(3P*)   | y 4P*      | 3/2  |       |              |            u37  |
Ti II     |                  213.312451  |                  213.312450  |     35 |           |      |       3.09479323      -        8.90528786     | 3d.4s2                | c 2D       | 3/2  | 3d2.(3F).5p           | 4F*        | 5/2  |       |              |            u37  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  213.33703   |                  213.337103  |     13 |           |      |       2.04771506      -        7.8575383      | 3d2.(3P).4s           | b 2P       | 1/2  | 3d2.(1S).4p           | 2P*        | 3/2  |       |              |            u37  |
Ti II     |                  213.364     |                  213.364163  |     2: |           |      |       1.16493097      -        6.97401747     | 3d3                   | a 4P       | 3/2  | 3d.(2D).4s.4p.(3P*)   | y 4P*      | 3/2  |       |              |          L5432  |
Ti II     |                  213.48283   |                  213.482825  |      7 |           |      |       1.16493097      -        6.9707889      | 3d3                   | a 4P       | 3/2  | 3d.(2D).4s.4p.(3P*)   | y 4P*      | 1/2  |       |              |            u37  |
Ti II     |                  213.557     |                  213.556068  |     2: |           |      |       1.56577727      -        7.3696443      | 3d3                   | b 2D2      | 3/2  | 3d.(2D).4s.4p.(3P*)   | 2P*        | 1/2  |       |              |          L5432  |
Ti II     |                  213.57141   |                  213.571394  |     15 |           |      |       1.18010039      -        6.98355090     | 3d3                   | a 4P       | 5/2  | 3d.(2D).4s.4p.(3P*)   | y 4P*      | 5/2  |       |              |            u37  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  213.756482  |                  213.756447  |     59 |           |      |       3.12352955      -        8.92195648     | 3d.4s2                | c 2D       | 5/2  | 3d2.(3F).5p           | 4F*        | 7/2  |       |              |            u37  |
