-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed       |         Ritz         |      Rel. |     Aki     | Acc. |          Ei           Ek          |              Lower level               |               Upper level               |   Type|                  TP  |    Line  |
          |      Wavelength      |      Wavelength      |      Int. |   (s^-1)    |      |         (eV)         (eV)         |----------------------------------------|-----------------------------------------|       |                 Ref. |    Ref.  |
          |       Air (nm)       |       Air (nm)       |           |             |      |                                   | Conf.                 | Term    | J    | Conf.                  | Term    | J    |       |                      |          |
Ar II     |          306.09059   |          306.090557  |         7 |             |      |    21.36689086  -     25.41628609 | 3s2.3p4.(1D).3d       | 2D      | 5/2  | 3s2.3p4.(3P<2>).5f     | 2[3]*   | 7/2  |       |                      |  L11520  |
Ar II     |          306.2643    |          306.264300  |         3 |             |      |    21.36689086  -     25.41398897 | 3s2.3p4.(1D).3d       | 2D      | 5/2  | 3s2.3p4.(3P<2>).5f     | 2[3]*   | 5/2  |       |                      |  L14821  |
Ar III    |          306.477     |          306.4745    |        10 | 1.0e+08     | D    |    25.730729    -     29.7750517  | 3s2.3p3.(2P*).4s      | 3P*     | 1    | 3s2.3p3.(2P*).4p       | 3D      | 1    |       |           T1619CA,LS |   L7493  |
Ar II     |          306.5120    |          306.513328  |     3w,bl |             |      |    21.36689086  -     25.41070102 | 3s2.3p4.(1D).3d       | 2D      | 5/2  | 3s2.3p4.(3P<2>).5f     | 2[4]*   | 7/2  |       |                      |  L14821  |
Ar II     |          306.5400    |          306.541182  |       0.5 |             |      |    20.27222673  -     24.31566947 | 3s2.3p4.(1D).3d       | 2F      | 7/2  | 3s2.3p4.(3P<1>).4f     | 2[4]*   | 7/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          306.6889    |          306.688823  |         6 |             |      |    20.27222673  -     24.31372301 | 3s2.3p4.(1D).3d       | 2F      | 7/2  | 3s2.3p4.(3P<1>).4f     | 2[4]*   | 9/2  |       |                      |  L14821  |
Ar II     |          307.166     |          307.166501  |       0.5 |             |      |    19.22290199  -     23.25811355 | 3s2.3p4.(3P).4p       | 4P*     | 5/2  | 3s2.3p4.(3P).4d        | 2F      | 5/2  |       |                      |  L14821  |
Ar VIII   |          307.32      |          307.33      |           |             |      |   103.2477      -    107.2808     | 2p6.5p                | 2P*     | 3/2  | 2p6.5d                 | 2D      | 5/2  |       |                      |  L13101  |
Ar IV     |          307.726     |          307.7268    |      8bl: |             |      |    31.906537    -     35.934402   | 3s2.3p2.(3P).4s       | 2P      | 3/2  | 3s2.3p2.(3P).4p        | 4P*     | 5/2  |       |                      |  L11418  |
Ar III    |          307.815     |          307.81323   |        10 | 1.4e+08     | D    |    25.7483180   -     29.7750517  | 3s2.3p3.(2P*).4s      | 3P*     | 0    | 3s2.3p3.(2P*).4p       | 3D      | 1    |       |           T1619CA,LS |   L7493  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          308.29777   |          308.297760  |        10 |             |      |    21.42648933  -     25.44689479 | 3s2.3p4.(1D).4p       | 2P*     | 1/2  | 3s2.3p4.(1D).4d        | 2S      | 1/2  |       |                      |  L11520  |
Ar II     |          308.3193    |          308.319881  |         1 |             |      |    19.61030772  -     23.63042474 | 3s2.3p4.(3P).4p       | 4D*     | 3/2  | 3s2.3p4.(3P).4d        | 2P      | 3/2  |       |                      |  L14821  |
Ar III    |          308.364     |          308.3598    |         3 |             |      |    26.161355    -     30.18095212 | 3s2.3p3.(2P*).3d      | 3D*     | 2    | 3s2.3p3.(2P*).4p       | 3P      | 2    |       |                      |   L7493  |
Ar II     |          308.50273   |          308.502675  |        19 |             |      |    21.42648933  -     25.4442245  | 3s2.3p4.(1D).4p       | 2P*     | 1/2  | 3s2.3p4.(3P).5d        | 2P      | 3/2  |       |                      |  L11520  |
Ar II     |          308.82151   |          308.82132   |         8 |             |      |    21.35179967  -     25.3653893  | 3s2.3p4.(1D).4p       | 2P*     | 3/2  | 3s2.3p4.(3P).5d        | 2D      | 5/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          308.8910    |          308.891368  |         3 |             |      |    21.42814592  -     25.44082553 | 3s2.3p4.(1D).3d       | 2D      | 3/2  | 3s2.3p4.(3P<2>).5f     | 2[1]*   | 3/2  |       |                      |  L14821  |
Ar II     |          309.34018   |          309.340173  |        68 | 4.4e+08     | D    |    19.86715687  -     23.87401492 | 3s2.3p4.(3P).4p       | 2P*     | 3/2  | 3s2.3p4.(3P).4d        | 2D      | 5/2  |       |                T1240 |  L11520  |
Ar II     |          309.49654   |          309.496469  |         8 |             |      |    21.35179967  -     25.3566343  | 3s2.3p4.(1D).4p       | 2P*     | 3/2  | 3s2.3p4.(3P).5d        | 2P      | 1/2  |       |                      |  L11520  |
Ar II     |          309.9925    |          309.992564  |         4 |             |      |    21.42814592  -     25.42657172 | 3s2.3p4.(1D).3d       | 2D      | 3/2  | 3s2.3p4.(3P<2>).5f     | 2[2]*   | 5/2  |       |                      |  L11520  |
Ar II     |          310.1004    |          310.100855  |         2 |             |      |    19.26108400  -     23.25811355 | 3s2.3p4.(3P).4p       | 4P*     | 3/2  | 3s2.3p4.(3P).4d        | 2F      | 5/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          310.25862   |          310.258606  |         5 |             |      |    21.62407043  -     25.61906777 | 3s2.3p4.(1D).3d       | 2P      | 3/2  | 3s2.3p4.(3P<0>).5f     | 2[3]*   | 5/2  |       |                      |  L11520  |
Ar II     |          310.2953    |          310.2953    |         1 |             |      |    22.77287946  -     26.767405   | 3s2.3p4.(3P).4d       | 4D      | 7/2  | 3s2.3p4.(3P<2>).8f     | 2[4]*   | 9/2  |       |                      |  L14821  |
Ar II     |          310.43601   |          310.435963  |        17 |             |      |    21.35179967  -     25.3445147  | 3s2.3p4.(1D).4p       | 2P*     | 3/2  | 3s2.3p4.(3P).5d        | 2D      | 3/2  |       |                      |  L11520  |
Ar II     |          310.8801    |          310.880493  |         2 |             |      |    17.14002730  -     21.12703333 | 3s2.3p4.(3P).4s       | 2P      | 3/2  | 3s2.3p4.(1D).4p        | 2F*     | 5/2  |       |                      |  L14821  |
Ar III    |          310.908     |          310.918     |           | 4.02e+00    | C    |     0.1378915   -      4.12442    | 3s2.3p4               | 3P      | 1    | 3s2.3p4                | 1S      | 0    | M1    |                 T761 |   L3453  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          310.9711    |          310.971205  |         4 |             |      |    21.42814592  -     25.41398897 | 3s2.3p4.(1D).3d       | 2D      | 3/2  | 3s2.3p4.(3P<2>).5f     | 2[3]*   | 5/2  |       |                      |  L14821  |
Ar II     |          310.998     |          310.997801  |       0.5 |             |      |    22.30870468  -     26.2942069  | 3s2.3p4.(1S).3d       | 2D      | 3/2  | 3s2.3p4.(3P<0>).6f     | 2[3]*   | 5/2  |       |                      |  L14821  |
Ar III    |          311.041     |          311.0340    |         7 |             |      |    26.161355    -     30.1463935  | 3s2.3p3.(2P*).3d      | 3D*     | 2    | 3s2.3p3.(2P*).4p       | 3P      | 1    |       |                      |   L7493  |
Ar II     |          311.4378    |          311.438155  |         3 |             |      |    21.42814592  -     25.40801310 | 3s2.3p4.(1D).3d       | 2D      | 3/2  | 3s2.3p4.(3P).6p        | 2S*     | 1/2  |       |                      |  L14821  |
Ar VII    |          311.78      |          311.79      |           |             |      |    87.73444     -     91.70987    | 3d2                   | 1S      | 0    | 3s.5p                  | 3P*     | 1    |       |                      |  L16205  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          312.4268    |          312.427803  |         1 |             |      |    20.24656508  -     24.21382608 | 3s2.3p4.(1D).3d       | 2F      | 5/2  | 3s2.3p4.(3P<2>).4f     | 2[1]*   | 3/2  |       |                      |  L14821  |
Ar III    |          312.790     |          312.79036   |         7 |             |      |    25.6936176   -     29.6562802  | 3s2.3p3.(2P*).4s      | 3P*     | 2    | 3s2.3p3.(2P*).4p       | 3S      | 1    |       |                      |   L7493  |
Ar IV     |          313.479     |          313.484     |         9 |             |      |    31.906537    -     35.860433   | 3s2.3p2.(3P).4s       | 2P      | 3/2  | 3s2.3p2.(3P).4p        | 4P*     | 3/2  |       |                      |  L11418  |
Ar II     |          313.64839   |          313.648425  |         7 |             |      |    21.49240221  -     25.4442245  | 3s2.3p4.(1D).4p       | 2D*     | 3/2  | 3s2.3p4.(3P).5d        | 2P      | 3/2  |       |                      |  L11520  |
Ar II     |          313.7629    |          313.763261  |         3 |             |      |    19.68004879  -     23.63042474 | 3s2.3p4.(3P).4p       | 2D*     | 5/2  | 3s2.3p4.(3P).4d        | 2P      | 3/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          313.90174   |          313.901722  |        79 | 5.2e+07     | C    |    19.22290199  -     23.17153551 | 3s2.3p4.(3P).4p       | 4P*     | 5/2  | 3s2.3p4.(3P).4d        | 4P      | 5/2  |       |                 T926 |  L11520  |
Ar II     |          313.92636   |          313.926372  |         8 |             |      |    21.62407043  -     25.57239391 | 3s2.3p4.(1D).3d       | 2P      | 3/2  | 3s2.3p4.(3P<1>).5f     | 2[3]*   | 5/2  |       |                      |  L11520  |
Ar II     |          314.0963    |          314.097313  |         2 |             |      |    21.49804969  -     25.4442245  | 3s2.3p4.(1D).4p       | 2D*     | 5/2  | 3s2.3p4.(3P).5d        | 2P      | 3/2  |       |                      |  L14821  |
Ar II     |          314.3891    |          314.389502  |         3 |             |      |    21.36689086  -     25.30939825 | 3s2.3p4.(1D).3d       | 2D      | 5/2  | 3s2.3p4.(1D).5p        | 2D*     | 5/2  |       |                      |  L14821  |
Ar II     |          314.5900    |          314.590397  |         2 |             |      |    21.36689086  -     25.30688069 | 3s2.3p4.(1D).3d       | 2D      | 5/2  | 3s2.3p4.(1D).5p        | 2D*     | 3/2  |       |                      |  L14821  |
